,"合约编号
Trade ID","标的名称
Underlying","名义本金
Notional Amount","买入/卖出
Buy/Sell","合约起始日
Trade Date","合约到期日
Expiry Date","初始保证金
Initial Margin","期初价格
Initial Price","估值日价格
Spot Price","期权费
Premium","合约估值
Valuation","币种
Base Currency"
0,ATCD10981_0001_20230726,000905.SH,5000000,B,2023-07-26,2024-07-25,0,6006.27,5184.0471,50000,14352.26289729322,CNY
1,ATCD10981_0002_20230803,000300.SH,4000000,B,2023-08-03,2024-08-02,0,3992.92,3450.2598,40000,7267.312963307945,CNY
